"content","pos","meaning","examples","collocations","mode"
"excretion","n.","排泄；排泄物","The kidneys play a vital role in the **excretion** of waste products.","","recognition"
"aerobic","adj.","有氧的","Running and swimming are excellent forms of **aerobic** exercise.","** aerobic capacity (心肺耐力)","recognition"
"metabolism","n.","新陳代謝","","","recognition"
"facial expressions","","面部表情","","** expression (表情|表達)","production"
"circadian rhythm","n.","晝夜節律；生理時鐘","Your **circadian rhythm** responds to your eyes detecting light.","","recognition"
"make out","v.","辨認出；看清；聽出","I could barely **make out** his face in the dimly lit hallway.","** make out what sb. is saying","recognition"
"hypnotic","adj.","催眠的；有安眠作用的","The rhythmic sound of the waves had a **hypnotic** effect.","","recognition"
"tactile","adj.","觸覺的；有手感的","Braille is a **tactile** system of reading and writing for the blind.","** tactile sensation (觸覺感受)","recognition"
"perspiration","n.","perspiration [n.]","**Perspiration** ran down his face after the workout.","","recognition"
"plump","adj.","豐滿的；圓胖的","The baby has **plump** cheeks.","** plump up (使蓬鬆 - 如枕頭)","recognition"
"jump over","","跳過；躍過","The horse can easily **jump over** the fence.","** 可指物理上的跳過，或比喻「略過」某個步驟","recognition"
"physical contact [U.]","","身體接觸","","","production"
"slim figure / slender figure","","身材苗條","","","production"
"physical activities","","體能活動","","** engage in physical activities","production"
"unplug","","拔掉插頭；(引申) 脫離科技/休息","","","production"
"step away from","","遠離...","","** 意指暫時離開某種狀態或環境","production"
"olfactory","adj.","嗅覺的","A dog's **olfactory** power is strong enough to sense and distinguish them...","** olfactory nerve (嗅神經), olfactory sense (嗅覺)","recognition"
"增強活力","","增強活力","","** boost (提高|增強)；vitality (活力|生命力)","production"
"dimpled","adj.","有酒窩的；有凹陷的","She has a charming, **dimpled** smile.","","recognition"
"feel relaxed and refreshed","","感到放鬆且耳目一新","","** refreshed (adj.) 感到精神振奮的|耳目一新的","production"
"regular exercise","","持續的運動","","** regular 指規律、定期的","production"
"change one's mood / feelings","","改善心情；改變感受","","** mood 指整體的「心情」；feeling 通常用複數表示感受","production"
"womb","n.","子宮","The baby develops inside the mother's **womb**.","","recognition"
"in the pink","","非常健康；氣色紅潤","","","production"
"nothing but skin and bones","","瘦到皮包骨","","** 形容極度消瘦","production"
"observatory","","觀景臺","","","production"
"tyres","n.","輪胎 (英式拼法)","We need to check the pressure in the **tyres** before the long drive.","","recognition"
"transportation costs","","交通成本 (可數)","","** 指運輸或通勤所產生的費用","production"
"pedestrian","","行人","","","production"
"High Speed Rail (HSR)","","高鐵","","","production"
"board","v.","登(機、船、車) - 動作動詞","","","recognition"
"traffic jam","","塞車；交通阻塞","","","production"
"aboard","prep./adv.","在(船、飛機、車)上 - 狀態","","","recognition"
"meandering","adj.","蜿蜒的；漫步的","...mixing comfortably with ox carts, pedestrians, and **meandering** cattle.","","recognition"
"online tours","","線上導覽/旅遊 (可數)","","** tour (旅遊|導覽)","production"
"take sb. out for a ride","","帶...出去兜風","","","production"
"promoting tourism","","推廣觀光","","** tourism (觀光業)","production"
"stroll along the trail","","漫步於步道上","","** stroll (悠閒漫步)；trail (山間或鄉間步道)","production"
"traverse","v.","橫越；穿過","In their cross-country journey, the animals must **traverse** many smaller bodies of water.","** traverse a desert|terrain","recognition"
"tourist destination","","度假勝地","","** destination (目的地)","production"
"compartment","n.","隔間；(火車) 車廂","You can store your luggage in the overhead **compartment**.","** glove compartment (轎車置物箱)","recognition"
"conducted tour","","導覽行程","","","production"
"culture shock","","文化衝擊 (注意：不可數！)","","** 第一次出國常有的感覺","production"
"caravan routes","n.","商隊路線","The Silk Road was one of the most famous **caravan routes** in history.","** caravan (商隊；露營拖車)","recognition"
"the traffic accident rate","","交通事故率","","** rate (比率)","production"
"voyage","n.","(長途) 航行；旅程","A sea **voyage**, especially a long one... has something unusual of its own.","","recognition"
"commute","","通勤","","","production"
"parking space","","停車位","","","production"
"bird's-eye view","","鳥瞰","","","production"
"crash into","","撞上","","","production"
"set off","","1. 出發 (Start a journey)","1. They **set off** on a journey to the North.|2. The smoke **set off** the fire alarm.","** set off for + 地點 (出發去...)","recognition"
"package tour","","套裝行程 (跟團)","We decided to go on a **package tour** to save time planning.","","recognition"
"wind","v.","蜿蜒；迂迴","The mountain road **winds** up and down the steep slopes.","","recognition"
"overtourism","","過度旅遊","","** 指遊客過多造成當地負擔的現象","production"
"time a trip to (地點)","","安排旅遊（時間點、地點）","","","production"
"head to","","前往；去往 (翻譯寫作優選)","","** 比 go to 更具動態感且更地道","production"
"pass by","","路過；經過","","","production"
"taxi","v.","(飛機) 在地面滑行","...the first time a newly qualified 747 captain **taxis** away from the gate...","","recognition"
"be harnessed to","v. phr.","被套上馬具(以拉車)；利用(動力)","The horses **were harnessed to** the carriage before the journey began.","** harness (n. 馬具；v. 治理|利用動力)","recognition"
"coach","n.","(四輪) 大馬車；長途客運","The royal family arrived at the ceremony in a golden **coach**.","** ride in a coach (坐馬車)；現在也指遊覽車","recognition"
"save travel time","","節省交通時間","","** save travel|commute time","production"
"means of transportation","","交通工具","","","production"
"driver's license","","駕照","","** 獲取駕照: obtain|get a driver's license","production"
"power failure","n.","停電","The hospital has backup generators in case of a **power failure**.","** 也可以說 power outage|blackout","recognition"
"trainers","n.","運動鞋 (英式用法)；帆布鞋","He put on his **trainers** and went for a run.","","recognition"
"family burden","","家庭負擔","","** ease|lighten the family burden","production"
"keepsake","n.","紀念品","She kept the necklace as a **keepsake** of her grandmother.","","recognition"
"lead a ... life / live a ... life","","過著...的生活","","","production"
"the high cost of living","","高昂的生活開銷","","** 常用於描述大城市的壓力","production"
"molded leather","n.","定型皮革；模製皮革","The chair features a seat made of high-quality **molded leather**.","** mold (v. 塑形|n. 模具)","recognition"
"safe haven","","避風港；安全地","","","production"
"doll","","玩偶","","","production"
"fashion accessories","","流行飾品","","","production"
"plus-sized","","大尺碼的","","","production"
"life's ...","","生活中的... (簡潔形式)","","** 比 ... of life 更簡潔地道","production"
"have a green thumb / have green fingers","","有園藝才能","","** 慣用語，指很擅長種植植物","production"
"cosmetics","","化妝品","","","production"
"daily existence","","日常現實；生活現狀","","","production"
"from door to door","","挨家挨戶","","","production"
"quality of life","","生活品質","","** 常用詞組","production"
"kiosk","n.","便利亭；自助服務機","You can print your photos at the self-service **kiosk**.","","recognition"
"choose from","","選購","","","production"
"get away from the hustle and bustle of the city","","遠離城市的喧囂","","** hustle and bustle (喧囂繁忙)","production"
"run-down","adj.","破舊的；年久失修的","They bought a **run-down** house and planned to renovate it completely.","** a run-down building|area","recognition"
"repellent","n.","驅蟲劑；驅除劑","Don't forget to spray some insect **repellent**.","","recognition"
"mundane","adj.","平凡的；乏味的；世俗的","...the ordinary human voice will be the chief means of interacting with the computer seems positively **mundane**.","","recognition"
"bargain","n.","划算的東西；廉價貨；協議","At that price, the car is a real **bargain**.","** a real bargain, bargain hunter","recognition"
"consumption habits","","消費習慣","","** change|shift consumption habits","production"
"drainage system","n.","排水系統","The city's **drainage system** was overwhelmed by the record-breaking rainfall.","** drain (排出液體) + -age (名詞字尾)","recognition"
"wine crate","n.","酒箱","He used a **wine crate** to store his collection of vinyl records.","","recognition"
"be boxed up","v. phr.","被裝箱","All the old books **were boxed up** and stored in the attic.","** box up (把...裝入箱內)","recognition"
"desolate","adj.","荒涼的；無人煙的","But with a white fur coat... polar bears are able to make this **desolate** place their home.","** 形容地方貧瘠、無人居住 (barren and uninhabited)|** a desolate landscape","recognition"
"name-brand","","名牌的","","** 也可以說 brand-name|** name-brand products","production"
"on the environment","","對環境","","** environment 泛指自然環境時必加 the","production"
"an eyesore","","礙眼的東西","","** eye + sore (痛處)，合稱礙眼之物","production"
"the suburbs / the countryside","","郊區 / 鄉村","","** 通常需加定冠詞 the；suburbs 指近郊，countryside 指鄉村","production"
"be in the habit of + V-ing","","有...的習慣","","** be in the habit of = have a habit of","production"
"public works","","公共工程","","","production"
"take up sth. (as a hobby)","","開始從事 (嗜好/活動)","","** take up 指開始花時間做某項活動或發展某種嗜好","production"
"enclosed space","","封閉空間","","","production"
"after work hours","","下班後","","** 指正式工作時間之外","production"
"fur","","皮草 (動物毛皮)","","","production"
"trendy clothes","","流行的服飾","","** trendy (流行的|時髦的)","production"
"retirement","","退休生活 (不可數)","","** 進入退休狀態","production"
"lamppost","n.","街燈柱","He leaned against a **lamppost** waiting for the bus.","","recognition"
"infrastructure","","基礎建設 (不可數，注意拼字)","","","production"
"city dwellers / urbanites","","都市居民","","** dwell (居住) -> dweller (居民)；urban (都市的)","production"
"shopping spree","","瘋狂購物","","","production"
"fasten","v.","繫緊；扣住","Please **fasten** your seat belt before the car starts moving.","","recognition"
"on a post","phr.","在柱子上","The notice was nailed **on a post** at the entrance of the village.","","recognition"
"steaming","adj.","冒蒸汽的；熱氣騰騰的","He was served a **steaming** bowl of soup.","** 來自動詞 steam (蒸)。","recognition"
"quail","n.","鵪鶉","We had roasted **quail** for dinner at the French restaurant.","","recognition"
"stinky tofu","","臭豆腐","","","production"
"eateries","n.","餐館；飲食店 (eatery 的複數)","We explored several local **eateries** to try traditional dishes.","","recognition"
"millet","n.","小米；粟","**Millet** is a staple grain in many parts of the world.","","recognition"
"craving","n.","渴望；熱望 (尤指食物或毒品)","**Craving** refers to an intense desire to consume a particular food...","** have a craving for chocolate","recognition"
"food additives","","食品添加物","","** additive (添加物)","production"
"excessive intake (of sth.)","","過度攝取","","** intake (攝取量)；excessive (過度的)","production"
"savory","adj.","鹹味的；芳香可口的","I prefer **savory** snacks like popcorn over sweet ones.","** 指「鹹的」食物，與 sweet (甜的) 相對","recognition"
"seafood spread [n.]","","海鮮拼盤","","","production"
"vat","n.","大桶；大甕","The wine is aged in a large wooden **vat**.","** 常指裝液體(酒、染料)的工業用大桶","recognition"
"champagne","n.","香檳","Guests toasted the newlyweds with glasses of **champagne**.","","recognition"
"coating","n.","一層（覆蓋物）；塗層","The chocolate **coating** on this ice cream is delicious.","** 動詞為 coat (覆蓋)。","recognition"
"before meals","","飯前","","** 常見於衛生宣導","production"
"gourmet","n./adj.","美食家；(食物) 佳餚的/精緻美味的","He is a **gourmet** who enjoys visiting high-end restaurants.","** gourmet food (美食)|gourmet coffee (精品咖啡)","recognition"
"round out the diet","","使飲食均衡/完整","","","production"
"foods rich in...","","富含...的食物 (如纖維、礦物質、蛋白質)","","** be rich in... (富含...)","production"
"waffles","n.","鬆餅（格子餅）","We had delicious **waffles** topped with syrup for breakfast.","","recognition"
"oyster omelet","","蚵仔煎","","","production"
"sustenance","n.","營養；食物；生計","...kelp forests... provide **sustenance** for fish and other sea animals.","","recognition"
"delicacy","","美食；佳餚","","","production"
